subscription_key,customer_key,partner_id,channel,term_type,opened_date,register_quantity,register_status,register_status_date,register_as_of_date
S01155,C01052,P3,partner,monthly,2026-05-31,3,active,2026-05-31,2026-06-30
S01156,C01053,P1,partner,monthly,2024-09-27,0,cancelled,2025-07-28,2026-06-30
S01157,C01054,DIRECT,direct,monthly,2024-11-15,532,active,2024-11-15,2026-06-30
S01158,C01055,P1,partner,annual,2025-03-05,2,active,2025-03-05,2026-06-30
S01159,C01056,P3,partner,annual,2025-03-07,6,active,2025-03-07,2026-06-30
S01160,C01057,P1,partner,monthly,2025-06-07,3,active,2025-06-07,2026-06-30
S01161,C01058,P2,partner,monthly,2026-03-20,20,active,2026-03-20,2026-06-30
S01162,C01059,P2,partner,monthly,2025-04-20,4,active,2025-04-20,2026-06-30
S01163,C01060,P2,partner,annual,2026-04-29,6,active,2026-04-29,2026-06-30
S01164,C01061,P2,partner,monthly,2024-09-19,7,active,2024-09-19,2026-06-30
S01165,C01062,P1,partner,monthly,2025-03-20,7,active,2025-03-20,2026-06-30
S01166,C01062,P1,partner,annual,2026-01-02,7,active,2026-01-02,2026-06-30
S01167,C01063,P1,partner,monthly,2025-01-06,0,cancelled,2025-07-29,2026-06-30
S01168,C01064,DIRECT,direct,annual,2026-01-09,0,cancelled,2026-06-06,2026-06-30
S01169,C01065,P1,partner,annual,2024-09-29,14,active,2024-09-29,2026-06-30
S01170,C01066,P1,partner,annual,2024-11-01,59,active,2024-11-01,2026-06-30
S01171,C01067,P1,partner,monthly,2024-11-11,5,active,2024-11-11,2026-06-30
S01172,C01068,P1,partner,annual,2025-08-22,7,active,2025-08-22,2026-06-30
S01173,C01069,P1,partner,monthly,2025-11-11,16,active,2025-11-11,2026-06-30
S01174,C01070,P2,partner,annual,2024-09-22,0,cancelled,2026-04-23,2026-06-30
S01175,C01071,P1,partner,monthly,2024-09-25,3,active,2024-09-25,2026-06-30
S01176,C01072,P1,partner,annual,2024-09-07,10,active,2024-09-07,2026-06-30
S01177,C01072,P1,partner,annual,2024-11-04,15,active,2024-11-04,2026-06-30
S01178,C01073,P1,partner,monthly,2025-11-21,5,active,2025-11-21,2026-06-30
S01179,C01074,DIRECT,direct,annual,2025-02-27,588,active,2025-02-27,2026-06-30
S01180,C01075,P1,partner,monthly,2024-09-21,2,active,2024-09-21,2026-06-30
S01181,C01076,P2,partner,annual,2025-05-21,0,cancelled,2025-06-30,2026-06-30
S01182,C01077,P1,partner,monthly,2025-07-08,6,active,2025-07-08,2026-06-30
S01183,C01078,P2,partner,monthly,2026-03-01,3,active,2026-03-01,2026-06-30
S01184,C01078,P2,partner,annual,2026-05-06,15,active,2026-05-06,2026-06-30
S01185,C01079,P1,partner,monthly,2026-01-13,4,active,2026-01-13,2026-06-30
S01186,C01080,P1,partner,monthly,2025-08-11,10,active,2025-08-11,2026-06-30
S01187,C01081,P3,partner,monthly,2026-04-25,3,active,2026-04-25,2026-06-30
S01188,C01082,P3,partner,monthly,2025-02-17,13,active,2025-02-17,2026-06-30
S01189,C01083,P1,partner,monthly,2026-03-12,4,active,2026-03-12,2026-06-30
S01190,C01084,P1,partner,monthly,2024-12-01,0,cancelled,2025-04-09,2026-06-30
S01191,C01085,P1,partner,monthly,2025-02-18,32,active,2025-02-18,2026-06-30
S01192,C01086,P2,partner,monthly,2025-12-09,6,active,2025-12-09,2026-06-30
S01193,C01087,P2,partner,annual,2026-02-08,9,active,2026-02-08,2026-06-30
S01194,C01088,P1,partner,annual,2025-08-08,12,active,2025-08-08,2026-06-30
S01195,C01089,P3,partner,annual,2026-03-13,12,active,2026-03-13,2026-06-30
S01196,C01090,P3,partner,monthly,2025-03-20,3,active,2025-03-20,2026-06-30
S01197,C01091,P2,partner,monthly,2025-11-05,8,active,2025-11-05,2026-06-30
S01198,C01092,P1,partner,monthly,2024-10-17,0,cancelled,2026-01-13,2026-06-30
S01199,C01093,P1,partner,monthly,2025-08-25,15,active,2025-08-25,2026-06-30
S01200,C01094,P2,partner,annual,2025-05-16,35,active,2025-05-16,2026-06-30
S01201,C01095,P2,partner,annual,2025-04-04,8,active,2025-04-04,2026-06-30
S01202,C01096,P2,partner,annual,2026-03-18,0,cancelled,2026-04-28,2026-06-30
S01203,C01097,P2,partner,annual,2024-09-12,93,active,2024-09-12,2026-06-30
S01204,C01098,P2,partner,monthly,2024-08-06,53,active,2024-08-06,2026-06-30
S01205,C01099,P3,partner,annual,2024-10-22,0,cancelled,2025-02-09,2026-06-30
S01206,C01100,P2,partner,monthly,2025-08-30,2,active,2025-08-30,2026-06-30
S01207,C01100,P2,partner,monthly,2025-10-09,4,active,2025-10-09,2026-06-30
S01208,C01101,P1,partner,monthly,2025-11-28,7,active,2025-11-28,2026-06-30
S01209,C01102,P3,partner,annual,2024-07-08,0,cancelled,2026-01-13,2026-06-30
S01210,C01103,P1,partner,annual,2024-10-15,0,cancelled,2025-10-20,2026-06-30
S01211,C01104,P2,partner,monthly,2025-09-19,0,cancelled,2025-11-02,2026-06-30
S01212,C01105,P2,partner,annual,2026-06-01,8,active,2026-06-01,2026-06-30
S01213,C01106,P2,partner,annual,2026-03-24,6,active,2026-03-24,2026-06-30
S01214,C01107,P1,partner,annual,2026-06-09,3,active,2026-06-09,2026-06-30
S01215,C01108,P1,partner,monthly,2025-04-19,9,active,2025-04-19,2026-06-30
S01216,C01109,P1,partner,monthly,2026-06-10,3,active,2026-06-10,2026-06-30
S01217,C01110,P1,partner,annual,2025-07-27,4,active,2025-07-27,2026-06-30
S01218,C01110,P1,partner,annual,2025-11-03,5,active,2025-11-03,2026-06-30
S01219,C01111,P1,partner,annual,2024-12-28,1,active,2024-12-28,2026-06-30
S01220,C01111,P1,partner,annual,2025-03-24,3,active,2025-03-24,2026-06-30
S01221,C01112,P1,partner,annual,2024-10-12,0,cancelled,2026-06-14,2026-06-30
S01222,C01113,P2,partner,monthly,2025-08-27,19,active,2025-08-27,2026-06-30
S01223,C01114,P3,partner,annual,2025-08-04,4,active,2025-08-04,2026-06-30
S01224,C01115,P1,partner,monthly,2025-07-08,4,active,2025-07-08,2026-06-30
S01225,C01116,P2,partner,monthly,2024-08-12,2,active,2024-08-12,2026-06-30
S01226,C01117,P1,partner,annual,2024-08-28,57,active,2024-08-28,2026-06-30
S01227,C01118,P1,partner,monthly,2025-03-15,8,active,2025-03-15,2026-06-30
S01228,C01119,P1,partner,monthly,2024-11-18,2,active,2024-11-18,2026-06-30
S01229,C01120,P2,partner,annual,2025-04-21,24,active,2025-04-21,2026-06-30
S01230,C01121,P1,partner,monthly,2026-05-03,3,active,2026-05-03,2026-06-30
S01231,C01122,P1,partner,annual,2024-12-19,6,active,2024-12-19,2026-06-30
S01232,C01123,P1,partner,annual,2026-05-20,2,active,2026-05-20,2026-06-30
S01233,C01124,P2,partner,annual,2024-08-03,17,active,2024-08-03,2026-06-30
S01234,C01125,P1,partner,monthly,2025-03-04,9,active,2025-03-04,2026-06-30
S01235,C01126,P1,partner,monthly,2025-03-12,15,active,2025-03-12,2026-06-30
S01236,C01127,P1,partner,annual,2026-05-10,9,active,2026-05-10,2026-06-30
S01237,C01128,P1,partner,annual,2026-05-19,10,active,2026-05-19,2026-06-30
S01238,C01129,P2,partner,monthly,2026-04-09,80,active,2026-04-09,2026-06-30
S01239,C01130,P1,partner,annual,2025-06-18,0,cancelled,2025-08-10,2026-06-30
S01240,C01131,P2,partner,monthly,2025-02-07,0,cancelled,2026-02-05,2026-06-30
S01241,C01132,P2,partner,monthly,2024-12-28,16,active,2024-12-28,2026-06-30
S01242,C01133,P2,partner,monthly,2025-08-21,11,active,2025-08-21,2026-06-30
S01243,C01133,P2,partner,monthly,2025-12-22,4,active,2025-12-22,2026-06-30
S01244,C01134,P1,partner,monthly,2025-05-08,15,active,2025-05-08,2026-06-30
S01245,C01135,P2,partner,monthly,2026-01-20,6,active,2026-01-20,2026-06-30
S01246,C01136,DIRECT,direct,annual,2024-10-01,135,active,2024-10-01,2026-06-30
S01247,C01137,DIRECT,direct,annual,2025-09-05,0,cancelled,2025-09-14,2026-06-30
S01248,C01138,P1,partner,annual,2024-12-19,3,active,2024-12-19,2026-06-30
S01249,C01139,P1,partner,monthly,2024-09-25,4,active,2024-09-25,2026-06-30
S01250,C01140,P2,partner,annual,2025-08-25,1,active,2025-08-25,2026-06-30
S01251,C01141,P1,partner,annual,2025-05-24,11,active,2025-05-24,2026-06-30
S01252,C01142,P1,partner,annual,2025-03-19,0,cancelled,2025-10-04,2026-06-30
S01253,C01143,P1,partner,monthly,2025-04-25,1,active,2025-04-25,2026-06-30
S01254,C01144,P2,partner,annual,2024-11-26,6,active,2024-11-26,2026-06-30
S01255,C01144,P2,partner,annual,2025-08-29,10,active,2025-08-29,2026-06-30
S01256,C01145,P3,partner,annual,2025-07-01,17,active,2025-07-01,2026-06-30
S01257,C01145,P3,partner,annual,2026-02-23,13,active,2026-02-23,2026-06-30
S01258,C01146,P1,partner,monthly,2025-07-23,6,active,2025-07-23,2026-06-30
S01259,C01147,P2,partner,monthly,2025-03-18,2,active,2025-03-18,2026-06-30
S01260,C01148,P3,partner,annual,2025-07-13,30,active,2025-07-13,2026-06-30
S01261,C01149,P2,partner,monthly,2024-11-09,9,active,2024-11-09,2026-06-30
S01262,C01150,P1,partner,annual,2025-02-19,3,active,2025-02-19,2026-06-30
S01263,C01151,P3,partner,monthly,2026-04-15,6,active,2026-04-15,2026-06-30
S01264,C01152,P1,partner,monthly,2024-07-03,7,active,2024-07-03,2026-06-30
S01265,C01152,P1,partner,monthly,2025-09-05,1,active,2025-09-05,2026-06-30
S01266,C01153,P1,partner,monthly,2025-05-18,24,active,2025-05-18,2026-06-30
S01267,C01154,P1,partner,annual,2026-02-16,1,active,2026-02-16,2026-06-30
S01268,C01155,P3,partner,annual,2025-06-22,2,active,2025-06-22,2026-06-30
S01269,C01156,P1,partner,annual,2024-10-14,16,active,2024-10-14,2026-06-30
S01270,C01157,P2,partner,annual,2026-05-24,57,active,2026-05-24,2026-06-30
S01271,C01157,P2,partner,monthly,2026-06-28,8,active,2026-06-28,2026-06-30
S01272,C01158,P1,partner,annual,2025-02-05,7,active,2025-02-05,2026-06-30
S01273,C01159,P2,partner,annual,2025-07-26,1,active,2025-07-26,2026-06-30
S01274,C01160,P3,partner,annual,2026-02-24,16,active,2026-02-24,2026-06-30
S01275,C01161,P1,partner,annual,2025-02-15,1,active,2025-02-15,2026-06-30
S01276,C01162,P1,partner,annual,2025-05-06,4,active,2025-05-06,2026-06-30
S01277,C01163,P1,partner,annual,2024-08-09,8,active,2024-08-09,2026-06-30
S01278,C01164,P1,partner,annual,2025-12-27,2,active,2025-12-27,2026-06-30
S01279,C01165,P3,partner,annual,2024-07-20,27,active,2024-07-20,2026-06-30
S01280,C01166,P1,partner,annual,2026-01-20,0,cancelled,2026-01-27,2026-06-30
S01281,C01167,P1,partner,annual,2025-03-13,19,active,2025-03-13,2026-06-30
S01282,C01168,P1,partner,annual,2024-10-04,17,active,2024-10-04,2026-06-30
S01283,C01169,P2,partner,annual,2024-07-10,13,active,2024-07-10,2026-06-30
S01284,C01170,P2,partner,annual,2024-10-26,3,active,2024-10-26,2026-06-30
S01285,C01171,P1,partner,annual,2025-06-21,7,active,2025-06-21,2026-06-30
S01286,C01172,P1,partner,monthly,2024-10-03,2,active,2024-10-03,2026-06-30
S01287,C01173,DIRECT,direct,annual,2025-12-26,97,active,2025-12-26,2026-06-30
S01288,C01174,P3,partner,annual,2025-10-06,13,active,2025-10-06,2026-06-30
S01289,C01175,P2,partner,annual,2025-02-28,0,cancelled,2026-03-02,2026-06-30
S01290,C01176,P1,partner,monthly,2024-11-01,3,active,2024-11-01,2026-06-30
S01291,C01177,P1,partner,monthly,2026-04-15,4,active,2026-04-15,2026-06-30
S01292,C01178,P1,partner,monthly,2024-12-27,0,cancelled,2026-02-17,2026-06-30
S01293,C01179,P1,partner,monthly,2025-11-30,5,active,2025-11-30,2026-06-30
S01294,C01180,P1,partner,annual,2025-12-07,1,active,2025-12-07,2026-06-30
S01295,C01181,P3,partner,monthly,2025-07-02,3,active,2025-07-02,2026-06-30
S01296,C01182,P3,partner,annual,2024-10-17,0,cancelled,2025-06-09,2026-06-30
S01297,C01183,P1,partner,annual,2025-12-10,4,active,2025-12-10,2026-06-30
S01298,C01184,P1,partner,annual,2025-05-08,32,active,2025-05-08,2026-06-30
S01299,C01185,P1,partner,annual,2026-06-18,1,active,2026-06-18,2026-06-30
S01300,C01186,P3,partner,monthly,2025-11-01,0,cancelled,2026-06-05,2026-06-30
S01301,C01187,P1,partner,annual,2025-08-16,28,active,2025-08-16,2026-06-30
S01302,C01188,P1,partner,monthly,2025-07-04,26,active,2025-07-04,2026-06-30
S01303,C01189,P1,partner,annual,2025-08-10,19,active,2025-08-10,2026-06-30
S01304,C01189,P1,partner,annual,2026-06-23,17,active,2026-06-23,2026-06-30
S01305,C01190,P1,partner,monthly,2025-05-24,16,active,2025-05-24,2026-06-30
S01306,C01191,P2,partner,monthly,2025-06-08,2,active,2025-06-08,2026-06-30
S01307,C01192,P1,partner,annual,2024-09-17,35,active,2024-09-17,2026-06-30
S01308,C01193,P1,partner,annual,2025-10-28,0,cancelled,2026-01-03,2026-06-30
S01309,C01194,P1,partner,annual,2025-04-02,24,active,2025-04-02,2026-06-30
S01310,C01194,P1,partner,annual,2025-10-06,2,active,2025-10-06,2026-06-30
S01311,C01195,P1,partner,monthly,2025-10-14,7,active,2025-10-14,2026-06-30
S01312,C01196,P2,partner,annual,2026-03-01,5,active,2026-03-01,2026-06-30
S01313,C01197,P1,partner,monthly,2025-04-20,31,active,2025-04-20,2026-06-30
S01314,C01197,P1,partner,monthly,2025-06-22,7,active,2025-06-22,2026-06-30
S01315,C01198,P2,partner,annual,2026-04-11,17,active,2026-04-11,2026-06-30
S01316,C01199,P3,partner,annual,2025-12-11,4,active,2025-12-11,2026-06-30
S01317,C01200,P1,partner,monthly,2024-11-12,1,active,2024-11-12,2026-06-30
S01318,C01201,P2,partner,annual,2024-07-05,18,active,2024-07-05,2026-06-30
S01319,C01202,P1,partner,monthly,2024-11-09,0,cancelled,2025-03-21,2026-06-30
S01320,C01203,P2,partner,annual,2025-08-11,42,active,2025-08-11,2026-06-30
S01321,C01204,DIRECT,direct,annual,2025-05-11,167,active,2025-05-11,2026-06-30
S01322,C01205,P3,partner,monthly,2024-10-18,0,cancelled,2024-11-08,2026-06-30
S01323,C01206,P3,partner,monthly,2026-03-28,20,active,2026-03-28,2026-06-30
S01324,C01207,DIRECT,direct,annual,2025-10-30,154,active,2025-10-30,2026-06-30
S01325,C01208,P1,partner,monthly,2025-11-25,23,active,2025-11-25,2026-06-30
S01326,C01208,P1,partner,annual,2026-03-13,11,active,2026-03-13,2026-06-30
S01327,C01209,P1,partner,monthly,2026-02-09,8,active,2026-02-09,2026-06-30
S01328,C01210,P2,partner,annual,2024-11-22,0,cancelled,2024-12-04,2026-06-30
S01329,C01210,P2,partner,annual,2025-08-17,11,active,2025-08-17,2026-06-30
S01330,C01211,P1,partner,annual,2025-02-20,9,active,2025-02-20,2026-06-30
S01331,C01212,P1,partner,monthly,2025-05-24,4,active,2025-05-24,2026-06-30
S01332,C01213,P3,partner,annual,2025-01-21,5,active,2025-01-21,2026-06-30
S01333,C01214,P2,partner,monthly,2025-02-13,7,active,2025-02-13,2026-06-30
S01334,C01215,P1,partner,annual,2025-02-16,6,active,2025-02-16,2026-06-30
S01335,C01216,P3,partner,annual,2025-06-22,4,active,2025-06-22,2026-06-30
S01336,C01217,P2,partner,annual,2026-04-11,1,active,2026-04-11,2026-06-30
S01337,C01218,P1,partner,monthly,2024-11-22,9,active,2024-11-22,2026-06-30
S01338,C01219,P1,partner,monthly,2025-01-17,23,active,2025-01-17,2026-06-30
S01339,C01220,P1,partner,annual,2026-03-25,0,cancelled,2026-03-30,2026-06-30
S01340,C01221,P1,partner,annual,2025-10-29,7,active,2025-10-29,2026-06-30
S01341,C01222,P2,partner,monthly,2025-06-02,9,active,2025-06-02,2026-06-30
S01342,C01223,P1,partner,monthly,2024-09-15,0,cancelled,2024-12-03,2026-06-30
S01343,C01223,P1,partner,monthly,2025-09-15,14,active,2025-09-15,2026-06-30
S01344,C01224,P2,partner,monthly,2024-10-10,16,active,2024-10-10,2026-06-30
S01345,C01225,P1,partner,annual,2026-02-15,16,active,2026-02-15,2026-06-30
S01346,C01226,P2,partner,monthly,2026-05-27,9,active,2026-05-27,2026-06-30
S01347,C01227,P3,partner,annual,2024-11-24,0,cancelled,2024-11-29,2026-06-30
S01348,C01228,P3,partner,monthly,2024-12-18,1,active,2024-12-18,2026-06-30
S01349,C01229,P2,partner,annual,2026-02-27,11,active,2026-02-27,2026-06-30
S01350,C01230,P1,partner,monthly,2025-06-05,4,active,2025-06-05,2026-06-30
S01351,C01231,P1,partner,annual,2025-11-27,17,active,2025-11-27,2026-06-30
S01352,C01232,P3,partner,annual,2024-09-06,2,active,2024-09-06,2026-06-30
S01353,C01233,P1,partner,monthly,2024-07-27,0,cancelled,2025-02-04,2026-06-30
S01354,C01234,P1,partner,monthly,2025-01-06,1,active,2025-01-06,2026-06-30
S01355,C01234,P1,partner,annual,2025-02-20,15,active,2025-02-20,2026-06-30
S01356,C01235,P3,partner,annual,2024-09-11,2,active,2024-09-11,2026-06-30
S01357,C01236,P3,partner,annual,2025-07-11,0,cancelled,2025-12-02,2026-06-30
S01358,C01237,P1,partner,annual,2025-03-04,3,active,2025-03-04,2026-06-30
S01359,C01238,P3,partner,annual,2024-10-16,1,active,2024-10-16,2026-06-30
S01360,C01239,P2,partner,monthly,2026-02-14,14,active,2026-02-14,2026-06-30
S01361,C01240,P1,partner,monthly,2025-08-01,8,active,2025-08-01,2026-06-30
S01362,C01241,P2,partner,monthly,2026-01-22,7,active,2026-01-22,2026-06-30
S01363,C01242,P3,partner,annual,2026-05-29,5,active,2026-05-29,2026-06-30
S01364,C01243,P1,partner,monthly,2024-09-17,30,active,2024-09-17,2026-06-30
S01365,C01244,P1,partner,monthly,2026-01-12,3,active,2026-01-12,2026-06-30
S01366,C01245,P3,partner,monthly,2025-12-26,23,active,2025-12-26,2026-06-30
S01367,C01246,P2,partner,monthly,2025-01-22,10,active,2025-01-22,2026-06-30
S01368,C01247,P1,partner,monthly,2025-11-28,4,active,2025-11-28,2026-06-30
S01369,C01248,P3,partner,monthly,2025-01-18,9,active,2025-01-18,2026-06-30
S01370,C01249,P1,partner,annual,2025-04-06,30,active,2025-04-06,2026-06-30
S01371,C01250,P1,partner,monthly,2025-12-25,7,active,2025-12-25,2026-06-30
S01372,C01251,P1,partner,monthly,2024-10-17,7,active,2024-10-17,2026-06-30
S01373,C01252,P1,partner,monthly,2025-01-13,27,active,2025-01-13,2026-06-30
S01374,C01253,P1,partner,monthly,2024-10-01,3,active,2024-10-01,2026-06-30
S01375,C01254,P2,partner,monthly,2025-04-26,5,active,2025-04-26,2026-06-30
S01376,C01255,P2,partner,annual,2026-05-31,6,active,2026-05-31,2026-06-30
S01377,C01256,P2,partner,monthly,2025-08-31,11,active,2025-08-31,2026-06-30
S01378,C01256,P2,partner,annual,2026-04-14,3,active,2026-04-14,2026-06-30
S01379,C01257,P2,partner,annual,2024-10-12,6,active,2024-10-12,2026-06-30
S01380,C01258,P3,partner,monthly,2026-05-09,7,active,2026-05-09,2026-06-30
S01381,C01259,P1,partner,monthly,2026-03-09,10,active,2026-03-09,2026-06-30
S01382,C01260,P1,partner,monthly,2024-07-01,8,active,2024-07-01,2026-06-30
S01383,C01261,P1,partner,monthly,2025-10-03,0,cancelled,2026-01-12,2026-06-30
S01384,C01262,P3,partner,annual,2025-03-19,12,active,2025-03-19,2026-06-30
S01385,C01263,P1,partner,annual,2025-11-11,7,active,2025-11-11,2026-06-30
S01386,C01263,P1,partner,monthly,2026-05-24,4,active,2026-05-24,2026-06-30
S01387,C01264,DIRECT,direct,monthly,2025-08-04,67,active,2025-08-04,2026-06-30
S01388,C01265,P2,partner,annual,2024-10-28,10,active,2024-10-28,2026-06-30
S01389,C01266,P2,partner,annual,2026-01-26,5,active,2026-01-26,2026-06-30
S01390,C01267,P1,partner,annual,2025-05-18,12,active,2025-05-18,2026-06-30
S01391,C01267,P1,partner,annual,2026-03-27,2,active,2026-03-27,2026-06-30
S01392,C01268,P3,partner,annual,2026-04-25,13,active,2026-04-25,2026-06-30
S01393,C01269,P3,partner,annual,2025-03-31,3,active,2025-03-31,2026-06-30
S01394,C01270,P2,partner,annual,2025-10-24,3,active,2025-10-24,2026-06-30
S01395,C01271,P1,partner,annual,2025-11-07,2,active,2025-11-07,2026-06-30
S01396,C01272,P1,partner,annual,2025-07-03,28,active,2025-07-03,2026-06-30
S01397,C01273,P2,partner,monthly,2026-02-23,13,active,2026-02-23,2026-06-30
S01398,C01274,P1,partner,monthly,2026-03-05,3,active,2026-03-05,2026-06-30
S01399,C01275,P1,partner,monthly,2025-02-05,6,active,2025-02-05,2026-06-30
S01400,C01276,P2,partner,monthly,2025-02-03,2,active,2025-02-03,2026-06-30
S01401,C01277,P2,partner,annual,2026-02-06,3,active,2026-02-06,2026-06-30
S01402,C01278,P3,partner,annual,2025-05-27,8,active,2025-05-27,2026-06-30
S01403,C01279,P1,partner,annual,2025-10-01,11,active,2025-10-01,2026-06-30
S01404,C01280,P1,partner,annual,2025-12-25,152,active,2025-12-25,2026-06-30
S01405,C01281,P1,partner,annual,2024-07-16,2,active,2024-07-16,2026-06-30
S01406,C01282,P1,partner,monthly,2024-10-31,7,active,2024-10-31,2026-06-30
S01407,C01283,P1,partner,annual,2025-07-07,8,active,2025-07-07,2026-06-30
S01408,C01284,P1,partner,annual,2025-09-03,17,active,2025-09-03,2026-06-30
S01409,C01285,P2,partner,monthly,2026-02-17,4,active,2026-02-17,2026-06-30
S01410,C01286,P2,partner,annual,2025-01-19,5,active,2025-01-19,2026-06-30
S01411,C01287,P3,partner,monthly,2025-06-02,11,active,2025-06-02,2026-06-30
S01412,C01287,P3,partner,monthly,2025-10-18,16,active,2025-10-18,2026-06-30
S01413,C01288,P1,partner,annual,2026-02-04,23,active,2026-02-04,2026-06-30
S01414,C01288,P1,partner,annual,2026-03-09,0,cancelled,2026-04-21,2026-06-30
S01415,C01289,P1,partner,annual,2024-10-31,6,active,2024-10-31,2026-06-30
S01416,C01290,P2,partner,monthly,2026-02-01,2,active,2026-02-01,2026-06-30
S01417,C01291,P3,partner,monthly,2026-03-09,5,active,2026-03-09,2026-06-30
S01418,C01292,P1,partner,monthly,2025-11-27,8,active,2025-11-27,2026-06-30
S01419,C01293,P1,partner,monthly,2025-12-13,9,active,2025-12-13,2026-06-30
S01420,C01294,P2,partner,monthly,2024-10-27,23,active,2024-10-27,2026-06-30
S01421,C01295,P1,partner,monthly,2025-07-04,12,active,2025-07-04,2026-06-30
S01422,C01296,P1,partner,monthly,2025-04-17,6,active,2025-04-17,2026-06-30
S01423,C01297,P1,partner,monthly,2026-03-02,7,active,2026-03-02,2026-06-30
S01424,C01297,P1,partner,annual,2026-04-30,0,cancelled,2026-06-05,2026-06-30
S01425,C01298,P2,partner,annual,2025-03-12,1,active,2025-03-12,2026-06-30
S01426,C01299,P2,partner,monthly,2024-09-24,4,active,2024-09-24,2026-06-30
S01427,C01300,P1,partner,monthly,2026-01-06,6,active,2026-01-06,2026-06-30
S01428,C01301,P1,partner,annual,2025-07-16,0,cancelled,2025-09-28,2026-06-30
S01429,C01302,DIRECT,direct,annual,2026-06-26,89,active,2026-06-26,2026-06-30
S01430,C01303,P3,partner,monthly,2026-02-07,1,active,2026-02-07,2026-06-30
S01431,C01304,P1,partner,annual,2024-09-22,5,active,2024-09-22,2026-06-30
S01432,C01305,P1,partner,monthly,2024-12-11,4,active,2024-12-11,2026-06-30
S01433,C01305,P1,partner,annual,2025-09-02,1,active,2025-09-02,2026-06-30
S01434,C01306,P1,partner,annual,2024-12-01,15,active,2024-12-01,2026-06-30
S01435,C01307,P1,partner,monthly,2025-11-04,0,cancelled,2026-04-27,2026-06-30
S01436,C01308,P2,partner,monthly,2024-08-02,1,active,2024-08-02,2026-06-30
S01437,C01309,P1,partner,monthly,2025-05-25,0,cancelled,2026-04-02,2026-06-30
S01438,C01310,P1,partner,monthly,2024-08-14,5,active,2024-08-14,2026-06-30
S01439,C01311,P3,partner,annual,2026-04-09,2,active,2026-04-09,2026-06-30
S01440,C01312,P1,partner,annual,2025-07-07,8,active,2025-07-07,2026-06-30
S01441,C01313,P1,partner,monthly,2025-08-26,11,active,2025-08-26,2026-06-30
S01442,C01314,P1,partner,monthly,2025-06-25,6,active,2025-06-25,2026-06-30
S01443,C01315,P1,partner,annual,2026-03-11,2,active,2026-03-11,2026-06-30
S01444,C01316,P1,partner,annual,2025-02-05,0,cancelled,2025-11-02,2026-06-30
S01445,C01317,P1,partner,annual,2024-10-19,19,active,2024-10-19,2026-06-30
S01446,C01318,P1,partner,monthly,2024-07-19,4,active,2024-07-19,2026-06-30
S01447,C01318,P1,partner,monthly,2025-04-01,31,active,2025-04-01,2026-06-30
S01448,C01319,P2,partner,annual,2024-09-03,5,active,2024-09-03,2026-06-30
S01449,C01320,P1,partner,annual,2025-05-06,9,active,2025-05-06,2026-06-30
S01450,C01321,P1,partner,monthly,2025-03-30,10,active,2025-03-30,2026-06-30
S01451,C01322,P3,partner,monthly,2025-10-15,3,active,2025-10-15,2026-06-30
S01452,C01323,P1,partner,annual,2024-08-23,10,active,2024-08-23,2026-06-30
S01453,C01324,P1,partner,annual,2026-02-05,51,active,2026-02-05,2026-06-30
S01454,C01325,P3,partner,annual,2026-01-09,4,active,2026-01-09,2026-06-30
S01455,C01326,P3,partner,monthly,2025-11-17,35,active,2025-11-17,2026-06-30
S01456,C01327,P3,partner,annual,2024-12-24,34,active,2024-12-24,2026-06-30
S01457,C01328,P1,partner,monthly,2024-12-16,9,active,2024-12-16,2026-06-30
S01458,C01328,P1,partner,monthly,2026-03-19,6,active,2026-03-19,2026-06-30
S01459,C01329,P2,partner,monthly,2026-01-05,10,active,2026-01-05,2026-06-30
S01460,C01330,P1,partner,annual,2025-12-09,21,active,2025-12-09,2026-06-30
S01461,C01331,P2,partner,monthly,2024-09-05,10,active,2024-09-05,2026-06-30
S01462,C01332,DIRECT,direct,monthly,2026-01-16,89,active,2026-01-16,2026-06-30
S01463,C01333,P1,partner,annual,2024-07-08,15,active,2024-07-08,2026-06-30
S01464,C01334,P2,partner,annual,2025-02-06,4,active,2025-02-06,2026-06-30
S01465,C01335,DIRECT,direct,annual,2025-03-06,0,cancelled,2025-09-13,2026-06-30
S01466,C01336,P1,partner,monthly,2024-10-19,26,active,2024-10-19,2026-06-30
S01467,C01337,P1,partner,monthly,2026-02-28,18,active,2026-02-28,2026-06-30
S01468,C01338,P2,partner,monthly,2025-08-23,15,active,2025-08-23,2026-06-30
S01469,C01339,P3,partner,monthly,2025-05-09,41,active,2025-05-09,2026-06-30
S01470,C01339,P3,partner,annual,2026-03-17,42,active,2026-03-17,2026-06-30
S01471,C01340,P1,partner,annual,2024-11-08,12,active,2024-11-08,2026-06-30
S01472,C01340,P1,partner,monthly,2025-04-29,28,active,2025-04-29,2026-06-30
S01473,C01341,P1,partner,monthly,2025-12-18,3,active,2025-12-18,2026-06-30
S01474,C01342,P1,partner,monthly,2025-01-29,11,active,2025-01-29,2026-06-30
S01475,C01343,P3,partner,annual,2024-07-16,2,active,2024-07-16,2026-06-30
S01476,C01344,P1,partner,annual,2025-10-18,4,active,2025-10-18,2026-06-30
S01477,C01345,P2,partner,annual,2024-11-04,20,active,2024-11-04,2026-06-30
S01478,C01346,P2,partner,annual,2025-11-26,2,active,2025-11-26,2026-06-30
